Company Name,Website Link,LinkedIn Page URL,Top Management Profiles
ADPRO SOFTECH PVT LTD,https://www.zaubacorp.com/company/ADPRO-SOFTECH-PRIVATE-LIMITED/U72892KA1999PTC024943,https://in.linkedin.com/company/adpro-softech-private-limited,"[{""title"":""narayanan lakshminarasimhan - associate director & ..."",""url"":""https://in.linkedin.com/in/lnarayann""},{""title"":""sathish elumalai - ceo & founder - webgaints softech ..."",""url"":""https://in.linkedin.com/in/sathishealumalai""}]"
ADRENALIN ESYSTEMS LIMITED,https://www.myadrenalin.com/company,https://in.linkedin.com/company/adrenalinmax,"[{""title"":""balaji ganesh - ceo - adrenalin esystems limited"",""url"":""https://in.linkedin.com/in/balaji-ganesh-b67547a""},{""title"":""thirumalanath jh - senior vice president & business head"",""url"":""https://in.linkedin.com/in/thirumalanath-jh""},{""title"":""sridhar palani - vice president - adrenalin esystems ltd"",""url"":""https://in.linkedin.com/in/sridhar-palani-a475354a""}]"
